verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Cardellina canadensis,2.0,4.796772,-75.68453,2021-10-22,22,10,2021,Risaralda,42
Hirundo rustica,7.0,4.996862,-75.61661,2021-10-28,28,10,2021,Caldas,43
Cardellina canadensis,1.0,5.236328,-76.086235,2021-10-11,11,10,2021,Risaralda,41
Hirundo rustica,5.0,12.557076,-81.7191,2021-10-09,9,10,2021,San Andrés Providencia y Santa Catalina,40
Cardellina canadensis,1.0,4.614415,-74.348495,2021-10-09,9,10,2021,Cundinamarca,40
Cardellina canadensis,1.0,4.647697,-75.57952,2021-10-09,9,10,2021,Quindío,40
Cardellina canadensis,1.0,5.066063,-75.53167,2021-10-09,9,10,2021,Caldas,40
Cardellina canadensis,1.0,4.887923,-73.250694,2021-09-25,25,9,2021,Boyacá,38
Cardellina canadensis,1.0,4.910712,-76.1683,2021-10-07,7,10,2021,Chocó,40
Cardellina canadensis,1.0,4.996176,-75.40908,2021-11-14,14,11,2021,Caldas,46
Cardellina canadensis,1.0,4.367564,-75.69224,2021-12-19,19,12,2021,Quindío,51
Cardellina canadensis,1.0,2.450367,-76.58484,2021-10-23,23,10,2021,Cauca,42
Cardellina canadensis,1.0,7.102923,-73.085464,2021-12-26,26,12,2021,Santander,52
Cardellina canadensis,1.0,5.023696,-75.04591,2021-10-09,9,10,2021,Tolima,40
Hirundo rustica,2.0,7.862059,-72.5529,2021-11-13,13,11,2021,Norte de Santander,45
Cardellina canadensis,1.0,5.018686,-75.40345,2021-11-13,13,11,2021,Caldas,45
Hirundo rustica,4.0,5.490832,-72.93526,2021-11-13,13,11,2021,Boyacá,45
Cardellina canadensis,1.0,6.12975,-75.60019,2021-11-28,28,11,2021,Antioquia,48
Vireo flavoviridis,2.0,4.941145,-74.005905,2021-10-09,9,10,2021,Cundinamarca,40
Cardellina canadensis,1.0,5.483833,-75072.0,2021-10-09,9,10,2021,Caldas,40
Cardellina canadensis,1.0,6.234623,-75.57863,2021-11-15,15,11,2021,Antioquia,46
Cardellina canadensis,2.0,3.527873,-76.74066,2021-10-24,24,10,2021,Valle del Cauca,43
Cardellina canadensis,1.0,5.114087,-75.50638,2021-11-14,14,11,2021,Caldas,46
Cardellina canadensis,1.0,4.538955,-74.44555,2021-11-12,12,11,2021,Cundinamarca,45
Cardellina canadensis,1.0,3.52837,-76.7439,2021-10-31,31,10,2021,Valle del Cauca,44
Hirundo rustica,0.0,4.855948,-75.484276,2021-10-09,9,10,2021,Risaralda,40
Hirundo rustica,8.0,10.077375,-75.43797,2021-08-14,14,8,2021,Bolívar,32
Hirundo rustica,3.0,11.294056,-73.21847,2021-09-20,20,9,2021,La Guajira,38
Hirundo rustica,2.0,4.403403,-75.1417,2021-10-27,27,10,2021,Tolima,43
Cardellina canadensis,1.0,1.885942,-76.263725,2021-12-03,3,12,2021,Huila,48
Hirundo rustica,1.0,4.571837,-74.132835,2021-10-09,9,10,2021,Distrito Capital de Bogotá,40
Cardellina canadensis,1.0,4.986292,-75.550865,2021-11-19,19,11,2021,Caldas,46
Hirundo rustica,0.0,5.490705,-70.41773,2021-05-22,22,5,2021,Vichada,20
Cardellina canadensis,1.0,6.852191,-73.37682,2021-12-17,17,12,2021,Santander,50
Cardellina canadensis,1.0,3.364227,-76.52916,2021-10-03,3,10,2021,Valle del Cauca,40
Cardellina canadensis,2.0,6.353164,-73.22497,2021-10-17,17,10,2021,Santander,42
Cardellina canadensis,1.0,4.767019,-74.67771,2021-10-20,20,10,2021,Cundinamarca,42
Cardellina canadensis,1.0,6.988775,-75.120224,2021-12-01,1,12,2021,Antioquia,48
Hirundo rustica,8.0,12.586125,-81.70217,2021-10-27,27,10,2021,San Andrés Providencia y Santa Catalina,43
Cardellina canadensis,1.0,5.820613,-76.172676,2021-10-01,1,10,2021,Chocó,39
Cardellina canadensis,1.0,7.241274,-73.860115,2021-11-03,3,11,2021,Santander,44
Hirundo rustica,2.0,4.841441,-74.84435,2021-09-28,28,9,2021,Tolima,39
Cardellina canadensis,1.0,6.852191,-73.37682,2021-11-14,14,11,2021,Santander,46
Cardellina canadensis,3.0,5.066361,-75.44842,2021-12-27,27,12,2021,Caldas,52
Hirundo rustica,2.0,6.587677,-75.18086,2021-09-24,24,9,2021,Antioquia,38
Cardellina canadensis,1.0,5.80666,-76.18155,2021-12-28,28,12,2021,Chocó,52
Cardellina canadensis,1.0,4.465304,-75.22931,2021-12-22,22,12,2021,Tolima,51
Hirundo rustica,1.0,5.231586,-76.03069,2021-11-21,21,11,2021,Risaralda,47
Cardellina canadensis,1.0,5.064686,-75.59219,2021-10-08,8,10,2021,Caldas,40
Hirundo rustica,2.0,1.909798,-67.07479,2021-10-15,15,10,2021,Guainía,41
Cardellina canadensis,1.0,4.632455,-75.63411,2021-10-17,17,10,2021,Quindío,42
Cardellina canadensis,1.0,5.08995,-75.53229,2021-11-12,12,11,2021,Caldas,45
Hirundo rustica,2.0,3.838347,-76.8976,2021-09-19,19,9,2021,Valle del Cauca,38
Hirundo rustica,1.0,3.86089,-67.96354,2021-11-02,2,11,2021,Guainía,44
Hirundo rustica,8.0,12.586125,-81.70217,2021-10-27,27,10,2021,San Andrés Providencia y Santa Catalina,43
Cardellina canadensis,2.0,5.064686,-75.59219,2021-11-14,14,11,2021,Caldas,46
Hirundo rustica,1.0,3.032692,-76.43951,2021-10-18,18,10,2021,Cauca,42
Hirundo rustica,14.0,5.456568,-73.76239,2021-08-28,28,8,2021,Cundinamarca,34
Hirundo rustica,5.0,4.792785,-74.65477,2021-10-22,22,10,2021,Cundinamarca,42
Cardellina canadensis,1.0,5.023696,-75.04591,2021-10-15,15,10,2021,Tolima,41
Hirundo rustica,27.0,6.112867,-70.92738,2021-03-18,18,3,2021,Casanare,11
Hirundo rustica,58.0,7.778137,-76.87417,2021-10-18,18,10,2021,Antioquia,42
Hirundo rustica,1.0,4.754966,-75.89424,2021-10-09,9,10,2021,Valle del Cauca,40
Cardellina canadensis,1.0,4.702059,-75.53586,2021-10-21,21,10,2021,Risaralda,42
Hirundo rustica,1.0,3.032692,-76.43951,2021-10-18,18,10,2021,Cauca,42
Cardellina canadensis,8.0,3.888061,-76.6017,2021-04-16,16,4,2021,Valle del Cauca,15
Cardellina canadensis,1.0,6.562205,-73.03337,2021-12-11,11,12,2021,Santander,49
Cardellina canadensis,1.0,5.064686,-75.59219,2021-10-08,8,10,2021,Caldas,40
Cardellina canadensis,1.0,4.18298,-73.65183,2021-12-10,10,12,2021,Meta,49
Vireo flavoviridis,1.0,4.653688,-74.11259,2021-10-13,13,10,2021,Distrito Capital de Bogotá,41
Hirundo rustica,0.0,1.27118,-70.20905,2021-11-13,13,11,2021,Vaupés,45
Cardellina canadensis,1.0,6.207499,-75.632645,2021-10-21,21,10,2021,Antioquia,42
Vireo flavoviridis,2.0,9.935644,-75.12382,2021-10-11,11,10,2021,Bolívar,41
Hirundo rustica,1.0,4.855948,-75.484276,2021-10-10,10,10,2021,Risaralda,41
Cardellina canadensis,1.0,5.035644,-75.570435,2021-12-30,30,12,2021,Caldas,52
Cardellina canadensis,1.0,4.464154,-74.137024,2021-12-04,4,12,2021,Distrito Capital de Bogotá,48
Cardellina canadensis,1.0,5.820613,-76.172676,2021-03-26,26,3,2021,Chocó,12
Hirundo rustica,10.0,10.301463,-74.90617,2021-02-02,2,2,2021,Atlántico,5
Cardellina canadensis,1.0,7.144797,-73.03638,2021-12-16,16,12,2021,Santander,50
Hirundo rustica,4.0,11.261277,-73.812904,2021-09-26,26,9,2021,Magdalena,39
Hirundo rustica,1.0,9.369833,-75.86034,2021-09-18,18,9,2021,Córdoba,37
Hirundo rustica,4.0,10.962343,-74.72926,2021-05-08,8,5,2021,Magdalena,18
Hirundo rustica,1.0,10.139379,-75.68965,2021-04-23,23,4,2021,Bolívar,16
Hirundo rustica,0.0,6.283163,-73.1502,2021-09-05,5,9,2021,Santander,36
Cardellina canadensis,1.0,4.887923,-73.250694,2021-09-25,25,9,2021,Boyacá,38
Cardellina canadensis,1.0,4.990284,-75.59611,2021-03-12,12,3,2021,Caldas,10
Cardellina canadensis,1.0,6.147325,-75.402664,2021-11-11,11,11,2021,Antioquia,45
Hirundo rustica,15.0,4.996862,-75.61661,2021-12-04,4,12,2021,Caldas,48
Cardellina canadensis,1.0,6.500075,-73.19066,2021-12-12,12,12,2021,Santander,50
Cardellina canadensis,2.0,4.654055,-74.09281,2021-11-01,1,11,2021,Distrito Capital de Bogotá,44
Hirundo rustica,1.0,3.836841,-76.29886,2021-11-06,6,11,2021,Valle del Cauca,44
Cardellina canadensis,1.0,4.936789,-75.48234,2021-11-23,23,11,2021,Caldas,47
Hirundo rustica,14.0,1.290698,-70.176544,2021-11-21,21,11,2021,Vaupés,47
Cardellina canadensis,1.0,4.26239,-73.80045,2021-10-31,31,10,2021,Cundinamarca,44
Cardellina canadensis,3.0,5.152389,-75.04408,2021-10-17,17,10,2021,Tolima,42
Hirundo rustica,4.0,6.467365,-74.459755,2021-12-13,13,12,2021,Antioquia,50
Vireo flavoviridis,1.0,4.98406,-74.29104,2021-11-14,14,11,2021,Cundinamarca,46
Cardellina canadensis,2.0,6.530807,-73.094604,2021-11-25,25,11,2021,Santander,47
Cardellina canadensis,1.0,4.18298,-73.65183,2021-10-16,16,10,2021,Meta,41
Cardellina canadensis,4.0,2.424693,-76.56414,2021-12-28,28,12,2021,Cauca,52
Cardellina canadensis,2.0,5.414034,-75.6809,2021-11-24,24,11,2021,Caldas,47
Cardellina canadensis,1.0,1.842765,-76.05132,2021-01-23,23,1,2021,Huila,3
Vireo flavoviridis,1.0,11.291472,-73.21864,2021-10-25,25,10,2021,La Guajira,43
Hirundo rustica,1.0,5.085088,-75.6187,2021-11-14,14,11,2021,Caldas,46
Hirundo rustica,5.0,4.272365,-73.49231,2021-04-10,10,4,2021,Meta,14
